Referencia,Municipio,Colonia,Victimas,Año,Mes,Latitud,Longitud,Link
1,Lagos de Moreno,Buenavista,8,2018,OCTUBRE,21.38951133704085,-101.96591717582784,https://www.ntrguadalajara.com/post.php?id_nota=230607
2,El Salto,Las Pintitas,6,2018,DICIEMBRE,20.557743249324357,-103.31138389172,https://www.informador.mx/jalisco/Hallan-fosa-clandestina-en-Tlajomulco-20190315-0123.html
3,Tlajomulco de Zúñiga,La Cofradía,1,2019,ENERO,20.471931954774213,-103.55860062107108,https://www.milenio.com/policia/fosa-clandestina-zapopan-jalisco-victimas
4,Tlajomulco de Zúñiga,Lomas del Mirador,2,2019,ENERO,20.49903461686087,-103.3435390790887,https://www.eloccidental.com.mx/local/fosa-clandestina-tonala-jalisco
5,Tlajomulco de Zúñiga,Chulavista,1,2019,ENERO,20.470263051619597,-103.4822871493442,https://www.proceso.com.mx/nacional/estados/2019/3/15/hallan-fosa-clandestina-guadalajara-223456.html
6,Zapopan,Nextipac,7,2019,ENERO,20.78355633237895,-103.5102161445964,https://www.ejemplo-noticia-6.com/fosa-clandestina-zapopan
7,El Salto,Cab. Mun. El Salto,1,2019,FEBRERO,20.520000647325865,-103.1749866163423,https://www.ejemplo-noticia-7.com/fosa-clandestina-el-salto
8,Zapopan,La Venta del Astillero,3,2019,MARZO,20.730721674742675,-103.5400166495601,https://www.ejemplo-noticia-8.com/fosa-clandestina-zapopan
9,Villa Guerrero,Villa Guerrero,3,2019,MARZO,21.99497299182882,-103.59605946041164,https://www.ejemplo-noticia-9.com/fosa-clandestina-villa-guerrero
10,Zapopan,El Colli Urbano,17,2019,ABRIL,20.643250788297355,-103.42948274024968,https://www.ejemplo-noticia-10.com/fosa-clandestina-zapopan
11,Tlajomulco de Zúñiga,Santa Cruz del Valle,2,2019,ABRIL,20.543238984021443,-103.33927511800864,https://www.ejemplo-noticia-11.com/fosa-clandestina-tlajomulco-de-zúñiga
12,Guadalajara,Quinta Velarde,8,2019,MAYO,20.65955951096242,-103.3320311527864,https://www.ejemplo-noticia-12.com/fosa-clandestina-guadalajara
13,Zapopan,El Campanario,30,2019,MAYO,20.59322365084342,-103.4353632892876,https://www.ejemplo-noticia-13.com/fosa-clandestina-zapopan
14,Tlajomulco de Zúñiga,Lomas del Mirador,1,2019,MAYO,20.500851975969866,-103.35339733245304,https://www.ejemplo-noticia-14.com/fosa-clandestina-tlajomulco-de-zúñiga
15,Lagos de Moreno,Ladera Grande,5,2019,MAYO,21.36910174308956,-101.9534095291614,https://www.ejemplo-noticia-15.com/fosa-clandestina-lagos-de-moreno
16,Pihuamo,Pihuamo,1,2019,MAYO,19.25470906452716,-103.38156265862854,https://www.ejemplo-noticia-16.com/fosa-clandestina-pihuamo
17,Tlajomulco de Zúñiga,Santa Cruz de la Loma,1,2019,JUNIO,20.48588602106808,-103.55093999552508,https://www.ejemplo-noticia-17.com/fosa-clandestina-tlajomulco-de-zúñiga
18,San Pedro Tlaquepaque,El Campesino,5,2019,JUNIO,20.604866262275035,-103.33244372389814,https://www.ejemplo-noticia-18.com/fosa-clandestina-san-pedro-tlaquepaque
19,El Salto,San Jose del Castillo,1,2019,JUNIO,20.50919203641683,-103.23624968196368,https://www.ejemplo-noticia-19.com/fosa-clandestina-el-salto
20,Ixtlahuacán de los Membrillos,Los Olivos,2,2019,JULIO,20.4455202653717,-103.2369969690284,https://www.ejemplo-noticia-20.com/fosa-clandestina-ixtlahuacán-de-los-membrillos
21,Tonalá,Santa Cruz de las Huertas,20,2019,JULIO,20.620917696333507,-103.26522353528432,
22,Tlajomulco de Zúñiga,Chulavista,2,2019,AGOSTO,20.49620256775152,-103.36460942014877,
23,Tlajomulco de Zúñiga,Chulavista,2,2019,AGOSTO,20.49615398199633,-103.364506175419,
24,Tlajomulco de Zúñiga,Chulavista,9,2019,AGOSTO,20.499479350252013,-103.36161975236516,
25,Tlajomulco de Zúñiga,Lomas del Mirador,1,2019,AGOSTO,20.49469594655425,-103.34567336681177,
26,Zapopan,La Primavera,43,2019,SEPTIEMBRE,20.718873772330163,-103.56164692945728,
27,Guadalajara,San Eugenio,1,2019,SEPTIEMBRE,20.68067473392098,-103.29010892392768,
28,Zapopan,La Primavera,7,2019,SEPTIEMBRE,20.718591224432465,-103.56163606223043,
29,Tlajomulco de Zúñiga,Hacienda Santa Fe,1,2019,SEPTIEMBRE,20.511885325008752,-103.38004412676553,
30,Tlajomulco de Zúñiga,Chulavista,2,2019,OCTUBRE,20.492611797195572,-103.35349676573932,
31,Ixtlahuacán de los Membrillos,Los Olivos,1,2019,OCTUBRE,20.43843077306745,-103.23069965815064,
32,Tlajomulco de Zúñiga,El Zapote,31,2019,NOVIEMBRE,20.48807686712715,-103.44626141557325,
33,Tlajomulco de Zúñiga,El Mirador,54,2019,NOVIEMBRE,20.48601985507817,-103.3426426495662,
34,Lagos de Moreno,Chipinque de Arriba,16,2019,NOVIEMBRE,21.43103479980513,-101.90825066062142,
35,Tonalá,Zalatitan,2,2019,NOVIEMBRE,20.658268104125305,-103.261917029334,
36,San Pedro Tlaquepaque,Buenos Aires,2,2019,NOVIEMBRE,20.60409164513708,-103.36645205214228,
37,Tlajomulco de Zúñiga,El Mirador,110,2019,DICIEMBRE,20.484729924142275,-103.3431806262107,
38,Lagos de Moreno,0,3,2019,DICIEMBRE,21.417264750723803,-101.89436337914218,
39,Lagos de Moreno,La Estanzuela,9,2020,ENERO,21.51535782169048,-101.98951250024682,
40,Zapopan,Lomas del Centinela,14,2020,ENERO,20.76909134021646,-103.36583386934088,
41,Jocotepec,Jocotepec,5,2020,ENERO,20.274755849047565,-103.4223147051782,
42,Juanacatlán,El Saucillo,95,2020,MARZO,20.481493901160743,-103.10823825640784,
43,San Pedro Tlaquepaque,La Calerilla,7,2020,ABRIL,20.565636288370865,-103.40007796029302,
44,Tlajomulco de Zúñiga,Santa Cruz del Valle,30,2020,ABRIL,20.54696370750399,-103.3353772195037,
45,Zapopan,Nextipac,2,2020,ABRIL,20.764782919210436,-103.533812671444,
46,El Salto,La Pedrera,27,2020,MAYO,20.54558545382322,-103.31661091738656,
47,Zapopan,Agrícola,5,2020,MAYO,20.61597286929933,-103.43212235837034,
48,Zapopan,Lomas del Refugio,42,2020,JUNIO,20.747246708502168,-103.33422775593384,
49,San Pedro Tlaquepaque,España,46,2020,JUNIO,20.554092724667672,-103.44761944275616,
50,Tlajomulco de Zúñiga,Lomas del Sur,1,2020,JUNIO,20.4904532392129,-103.41145406617338,
51,El Salto,El Pedregal,30,2020,JULIO,20.508706830960698,-103.18394021807774,
52,Lagos de Moreno,Tepeyac,3,2020,JULIO,21.375874644141003,-101.92181451712813,
53,San Pedro Tlaquepaque,El Campesino,10,2020,JULIO,20.604840331471333,-103.33253862947826,
54,San Pedro Tlaquepaque,El Campesino,2,2020,AGOSTO,20.604793777124783,-103.33263173817136,
55,Tonalá,Las Torres,30,2020,AGOSTO,20.66347544398157,-103.25366670212728,
56,Ixtlahuacán de los Membrillos,Los Olivos,34,2020,SEPTIEMBRE,20.43460456239689,-103.234938667051,
57,El Salto,La Santa Cruz,134,2020,OCTUBRE,20.519228113280622,-103.19963577099374,
58,San Pedro Tlaquepaque,La Duraznera,12,2020,OCTUBRE,20.59391598651912,-103.32146849591456,
59,Tlajomulco de Zúñiga,Fracc. Puertas del Angel,2,2020,OCTUBRE,20.45226010690166,-103.44075884049737,
60,Chapala,Ajijic,6,2020,OCTUBRE,20.30151058606855,-103.2850629969127,
61,Chapala,Jaltepec,5,2020,NOVIEMBRE,20.29567414114845,-103.35302744241784,
62,Tlajomulco de Zúñiga,Lomas del Mirador,2,2020,NOVIEMBRE,20.498094890175796,-103.35219926509492,
63,San Pedro Tlaquepaque,Emiliano Zapata,2,2020,NOVIEMBRE,20.59466085606394,-103.27275304759333,
64,Tlajomulco de Zúñiga,Santa Anita,18,2020,DICIEMBRE,20.54555827159773,-103.44733674761268,
65,Tlajomulco de Zúñiga,Villas Terranova,14,2020,DICIEMBRE,20.495678964612765,-103.40876769661055,
66,Guadalajara,Colinas de Huentitan,4,2021,ENERO,20.72657890408265,-103.30515677852516,
67,Tlajomulco de Zúñiga,Chulavista,4,2021,ENERO,20.495476298290097,-103.36366076291024,
68,Tlajomulco de Zúñiga,Zapote del Valle,2,2021,FEBRERO,20.503194882106392,-103.30271288828789,
69,San Pedro Tlaquepaque,Los Hornos,6,2021,FEBRERO,20.59913854070216,-103.2726164281177,
70,Zapopan,Nextipac,2,2021,FEBRERO,20.77744814122497,-103.50561795383334,
71,Tlajomulco de Zúñiga,Villa Fontana Aqua,3,2021,FEBRERO,20.501861177293303,-103.34828519496278,
